Run Summary,Total Loads Of Ore:,1489,Station Count,2,Mining Truck Count,100
Truck Efficiency,62,Station Efficiency,86
,Mining Truck,,,,,,Unloading Station
Slice Count,MINING,TRAVELING_TO_STATION,IDLE,UNLOADING,TRAVELING_TO_MINE,BUSY,IDLE
730,74,16,1,4,5,2,0
731,73,15,1,4,7,2,0
732,71,16,1,4,8,2,0
733,70,14,2,4,10,2,0
734,69,13,3,4,11,2,0
735,67,14,2,4,13,2,0
736,68,10,4,4,14,2,0
737,68,11,4,3,14,1,1
738,69,11,3,3,14,2,0
739,69,10,4,4,13,2,0
740,69,11,3,4,13,2,0
741,70,10,3,4,13,2,0
742,70,10,3,4,13,2,0
743,69,13,2,3,13,1,1
744,71,11,2,3,13,2,0
745,70,13,2,3,12,1,1
746,71,11,2,3,13,2,0
747,69,13,2,4,12,2,0
748,68,15,1,4,12,2,0
749,69,14,1,4,12,2,0
750,70,12,2,4,12,2,0
751,69,15,2,2,12,0,2
752,67,15,3,2,13,2,0
753,68,16,3,2,11,0,2
754,66,15,5,2,12,2,0
755,66,14,6,4,10,2,0
756,67,14,5,4,10,2,0
757,68,14,4,4,10,2,0
758,69,12,5,4,10,2,0
759,69,11,6,4,10,2,0
760,66,13,5,4,12,2,0
761,68,10,6,4,12,2,0
762,65,11,6,4,14,2,0
763,65,12,5,4,14,2,0
764,66,12,4,4,14,2,0
765,66,13,3,4,14,2,0
766,67,12,3,4,14,2,0
767,65,13,4,4,14,2,0
768,65,15,2,4,14,2,0
769,67,12,3,4,14,2,0
770,64,15,3,4,14,2,0
771,66,14,2,4,14,2,0
772,66,14,2,4,14,2,0
773,66,15,1,4,14,2,0
774,65,14,3,4,14,2,0
775,67,12,3,4,14,2,0
776,68,13,1,4,14,2,0
777,68,10,4,4,14,2,0
778,66,14,3,3,14,1,1
779,66,14,3,3,14,2,0
780,65,15,3,4,13,2,0
781,63,16,4,4,13,2,0
782,64,17,4,2,13,0,2
783,64,18,3,2,13,2,0
784,65,17,3,4,11,2,0
785,67,13,5,4,11,2,0
786,65,15,5,4,11,2,0
787,66,12,6,4,12,2,0
788,65,11,8,4,12,2,0
789,66,11,7,4,12,2,0
790,68,9,7,4,12,2,0
791,67,9,6,4,14,2,0
792,68,10,4,4,14,2,0
793,69,7,6,4,14,2,0
794,69,9,6,2,14,0,2
795,69,8,7,2,14,2,0
796,69,9,7,3,12,1,1
797,70,10,5,3,12,2,0
798,71,10,5,3,11,1,1
799,71,11,4,3,11,2,0
800,72,11,4,3,10,1,1
801,70,13,4,3,10,2,0
802,69,14,4,4,9,2,0
803,66,15,4,4,11,2,0
804,66,16,4,3,11,1,1
805,65,17,3,3,12,2,0
806,66,16,3,4,11,2,0
807,67,15,2,4,12,2,0
808,66,14,4,4,12,2,0
809,62,16,5,4,13,2,0
810,63,14,6,4,13,2,0
811,62,15,6,4,13,2,0
812,61,16,6,4,13,2,0
813,61,16,5,4,14,2,0
814,59,20,3,4,14,2,0
815,58,20,4,4,14,2,0
816,60,15,7,4,14,2,0
817,59,17,6,4,14,2,0
818,59,16,7,4,14,2,0
819,57,17,8,4,14,2,0
820,58,17,7,4,14,2,0
821,58,15,9,4,14,2,0
822,56,16,10,4,14,2,0
823,54,20,8,4,14,2,0
824,54,19,9,4,14,2,0
825,55,18,9,4,14,2,0
826,56,15,11,4,14,2,0
827,58,14,10,4,14,2,0
828,60,12,10,4,14,2,0
829,61,9,12,4,14,2,0
830,62,6,14,4,14,2,0
831,62,6,14,4,14,2,0
832,63,6,13,4,14,2,0
833,65,5,12,4,14,2,0
834,67,5,10,4,14,2,0
835,67,7,8,4,14,2,0
836,67,8,7,4,14,2,0
837,67,9,6,4,14,2,0
838,69,7,6,4,14,2,0
